song, album, year, download link, release_date, primary_artists
Happier,Happier,2018,https://aac.saavncdn.com/393/2e38e6ce0dbe0d1b87d4e67753628e45_320.mp4,2018-08-17,Marshmello, Bastille
Girls Like You,Girls Like You,2018,https://aac.saavncdn.com/016/160a7cfbbf0eff43e3bea7d7278eb94c_320.mp4,2018-05-30,Maroon 5
Rise,Rise,2018,https://aac.saavncdn.com/750/59f09989235a80e543369b11386cb6e6_320.mp4,2018-05-25,Jonas Blue
Close To Me,Close To Me,2018,https://aac.saavncdn.com/414/2fa2125eb96a87d510151230184878e6_320.mp4,2018-10-24,Ellie Goulding, Diplo, Swae Lee
In My Feelings,Scorpion,2018,https://aac.saavncdn.com/152/206ca0cd28a2bac1b75a857f3bc5cce6_320.mp4,2018-06-29,Drake
Back To You,13 Reasons Why (Season 2),2018,https://aac.saavncdn.com/048/82f8d3d7a501f290367d171fab64043c_320.mp4,2018-05-18,Selena Gomez
Rude,Rude,2013,https://aac.saavncdn.com/794/eff7d38633bf5995ece1743f67625148_320.mp4,2013-10-11,Magic!
Sugar (Remix),Sugar (Remix),2015,https://aac.saavncdn.com/396/c7375c71c267954f3e9e43aedb843695_320.mp4,2015-03-10,Maroon 5
Counting Stars (Originally Performed By One Republic) [Karaoke Version],Counting Stars (Originally Performed By One Republic) [Karaoke Version],2013,https://aac.saavncdn.com/060/7fca060cda7dd6df4fcf6bb52eb20796_320.mp4,2013-11-12,Paris Music
Let Her Go,All The Little Lights,2013,https://aac.saavncdn.com/977/0bdbac96f61155b9da361d25804dccf6_320.mp4,2013-05-27,Passenger
Happier,÷,2017,https://aac.saavncdn.com/286/1f1e72e0d96ca82ac4f9b2439032ed6c_320.mp4,2017-03-03,Ed Sheeran
Thinking Out Loud,x,2014,https://aac.saavncdn.com/835/90cd4c9662551e26ad6c458d9b63178b_320.mp4,2014-06-20,Ed Sheeran
Too Good At Goodbyes,The Thrill Of It All,2017,https://aac.saavncdn.com/965/9adfabf4cd810e1adff43b96e4be66b4_320.mp4,2017-11-03,Sam Smith
What Lovers Do,Red Pill Blues (Deluxe),2017,https://aac.saavncdn.com/464/dc15be6398502c75dde045b010353470_320.mp4,2017-11-03,Maroon 5
Just The Way You Are,Just The Way You Are,2010,https://aac.saavncdn.com/310/b979b4865347c932406bb222fc537cc1_320.mp4,2010-07-20,Bruno Mars
See You Again,See You Again (From Fast &amp; Furious 7),2015,https://aac.saavncdn.com/231/f53bf6c2c3851d65c2100bb014c51145_320.mp4,2015-04-20,Halifa Kiz
Perfect Duet (with Beyoncé),Perfect Duet (with Beyoncé),2017,https://aac.saavncdn.com/975/b6990e50ceb08b9697c5a6e0f3b00c3b_320.mp4,2017-11-30,Ed Sheeran
Darkside,Different World,2018,https://aac.saavncdn.com/562/6fb92ba015fd478210d2ae2e267c6634_320.mp4,2018-12-14,Au/Ra, Alan Walker, Tomine Harket
Stereo Hearts (feat. Adam Levine),Stereo Hearts (feat. Adam Levine),2011,https://aac.saavncdn.com/947/7e7774b9bc99e0f062556a183d841827_320.mp4,2011-06-14,Gym Class Heroes
One Kiss,One Kiss,2018,https://aac.saavncdn.com/360/b35084c623cc8a39d72e4cf10f9f895c_320.mp4,2018-04-06,Calvin Harris, Dua Lipa
All of Me,DARKNESS AND LIGHT (Asia Tour Edition),2018,https://aac.saavncdn.com/710/0f3c3d69886c8920550ddb40ed099b50_320.mp4,2018-02-09,John Legend
All of Me,Love In The Future (Expanded Edition),2013,https://aac.saavncdn.com/742/95eaa93b0b07123e664330b6bd0e1580_320.mp4,2013-09-02,John Legend
Dream,Smoke + Mirrors,2014,https://aac.saavncdn.com/635/947846ad83fa4319b741b9719f197240_320.mp4,2014-09-18,Imagine Dragons
Locked Away,Locked Away,2015,https://aac.saavncdn.com/251/d6b7dc7945fd45342dd648e11d5baf4d_320.mp4,2015-06-29,R. City
Treat You Better,Illuminate (Deluxe),2017,https://aac.saavncdn.com/486/ab12ce077902c6ab94ebe02cf8a4896c_320.mp4,2017-04-20,Shawn Mendes
Say My Name,7,2018,https://aac.saavncdn.com/378/b4d68872e6a7330306e499e4d08ef52a_320.mp4,2018-09-14,J Balvin, Bebe Rexha, David Guetta
This Feeling,Sick Boy,2018,https://aac.saavncdn.com/074/7596f131c08d1890fcedc1ee43fc6dba_320.mp4,2018-12-14,The Chainsmokers
MIA (feat. Drake),MIA (feat. Drake),2018,https://aac.saavncdn.com/369/d30e72c9b60ac22d65d1699ce9170e39_320.mp4,2018-10-11,Bad Bunny
Summer Of &#039;69,The Best Of Me,1999,https://aac.saavncdn.com/225/195a822b4a9c2428b5d851de90332493_320.mp4,1999-01-01,Bryan Adams
Wavin&#039;  Flag,Troubadour,2008,https://aac.saavncdn.com/957/9305cac9fa7aca96fa4f16c09ad18ea2_320.mp4,2008-01-01,K&#039;naan
